municipio_norm,uf,municipio_ibge,codigo_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
BRACO DO TROMBUDO,SC,Braço do Trombudo,4202859,Blumenau,Rio do Sul,Vale do Itajaí
BRUNOPOLIS,SC,Brunópolis,4202875,Lages,Curitibanos,Serrana
BRUSQUE,SC,Brusque,4202909,Blumenau,Brusque,Vale do Itajaí
CACADOR,SC,Caçador,4203006,Caçador,Caçador,Oeste Catarinense
CAIBI,SC,Caibi,4203105,Chapecó,Chapecó,Oeste Catarinense
CALMON,SC,Calmon,4203154,Caçador,Caçador,Oeste Catarinense
CAMBORIU,SC,Camboriú,4203204,Blumenau,Itajaí,Vale do Itajaí
CAPAO ALTO,SC,Capão Alto,4203253,Lages,Lages,Serrana
CAMPO ALEGRE,SC,Campo Alegre,4203303,Joinville,São Bento do Sul - Rio Negrinho,Norte Catarinense
CAMPO BELO DO SUL,SC,Campo Belo do Sul,4203402,Lages,Lages,Serrana
CAMPO ERE,SC,Campo Erê,4203501,Chapecó,São Lourenço do Oeste,Oeste Catarinense
CAMPOS NOVOS,SC,Campos Novos,4203600,Chapecó,Joaçaba - Herval d'Oeste,Serrana
CANELINHA,SC,Canelinha,4203709,Blumenau,Brusque,Grande Florianópolis
CANOINHAS,SC,Canoinhas,4203808,Joinville,Mafra,Norte Catarinense
CAPINZAL,SC,Capinzal,4203907,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
CAPIVARI DE BAIXO,SC,Capivari de Baixo,4203956,Criciúma,Tubarão,Sul Catarinense
CATANDUVAS,SC,Catanduvas,4204004,Chapecó,Joaçaba - Herval d'Oeste,Oeste Catarinense
CAXAMBU DO SUL,SC,Caxambu do Sul,4204103,Chapecó,Chapecó,Oeste Catarinense
CELSO RAMOS,SC,Celso Ramos,4204152,Chapecó,Joaçaba - Herval d'Oeste,Serrana
CERRO NEGRO,SC,Cerro Negro,4204178,Lages,Lages,Serrana
CHAPADAO DO LAGEADO,SC,Chapadão do Lageado,4204194,Blumenau,Ituporanga,Vale do Itajaí
CHAPECO,SC,Chapecó,4204202,Chapecó,Chapecó,Oeste Catarinense
COCAL DO SUL,SC,Cocal do Sul,4204251,Criciúma,Criciúma,Sul Catarinense
CONCORDIA,SC,Concórdia,4204301,Chapecó,Concórdia,Oeste Catarinense
CORDILHEIRA ALTA,SC,Cordilheira Alta,4204350,Chapecó,Chapecó,Oeste Catarinense
CORONEL FREITAS,SC,Coronel Freitas,4204400,Chapecó,Chapecó,Oeste Catarinense
CORONEL MARTINS,SC,Coronel Martins,4204459,Chapecó,Xanxerê,Oeste Catarinense
CORUPA,SC,Corupá,4204509,Joinville,Joinville,Norte Catarinense
CORREIA PINTO,SC,Correia Pinto,4204558,Lages,Lages,Serrana
CRICIUMA,SC,Criciúma,4204608,Criciúma,Criciúma,Sul Catarinense
CUNHA PORA,SC,Cunha Porã,4204707,Chapecó,Maravilha,Oeste Catarinense
CUNHATAI,SC,Cunhataí,4204756,Chapecó,Chapecó,Oeste Catarinense
CURITIBANOS,SC,Curitibanos,4204806,Lages,Curitibanos,Serrana
